研报名称,机构名称,发布时间,行业,研报地址
电力设备行业点评报告：欧洲电动车销量月报（2026年1月）：1月欧洲9国新能源车同比+23%，法、意、西等增长明显,开源证券,2026-02-28,电力,https://pdf.dfcfw.com/pdf/H3_AP202602281820139106_1.pdf?1772292453000.pdf
可控核聚变系列研究（一）：聚变启航，未来已来,国信证券,2026-02-24,电力,https://pdf.dfcfw.com/pdf/H3_AP202602231819983694_1.pdf?1771918945000.pdf
公用事业行业研究：重视统一电力市场，煤与煤电+市值管理,国金证券,2026-02-24,电力,https://pdf.dfcfw.com/pdf/H3_AP202602231819984056_1.pdf?1771919515000.pdf
大能源行业2026年第7周周报：2025国网招标总结煤炭去库超预期,华源证券,2026-02-24,电力,https://pdf.dfcfw.com/pdf/H3_AP202602241819989811_1.pdf?1771925691000.pdf
电力行业2026年度投资策略：电改持续深化，电力设备需求有望延续高景气,开源证券,2026-02-23,电力,https://pdf.dfcfw.com/pdf/H3_AP202602231819981346_1.pdf?1771862745000.pdf
公用事业行业-电力天然气周报：全国统一电力市场新政颁布，欧洲天然气库存降至低位,信达证券,2026-02-19,电力,https://pdf.dfcfw.com/pdf/H3_AP202602191819961635_1.pdf?1771495551000.pdf
电力生产行业2025年信用回顾与2026年展望,新世纪资信评估,2026-02-14,电力,https://pdf.dfcfw.com/pdf/H3_AP202602141819931874_1.pdf?1771065212000.pdf
